#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide48 Stim5","1439790","11993","","","11993","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide69 Stim12","1453492","5998","","","5998","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide63 Stim10","1461196","11997","","","11997","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide54 Stim7","1474905","12003","","","12003","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide42 Stim3","1488622","5995","","","5995","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide45 Stim4","1496339","2991","","","2991","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide66 Stim11","1501033","11998","","","11998","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide51 Stim6","1514746","5998","","","5998","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide60 Stim9","1522467","12008","","","12008","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide36 Stim1","1536216","2986","","","2986","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_008","FEMALE","39","Default","Stimulus","Slide39 Stim2","1540932","11990","","","11990","0","0","0",NA
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide8 Current1","221118","115557","","","115557","1","21","10.9","0.0718"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide13 Current2","373096","93729","","","93729","1","17","10.88","0.0785"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide22 Item1","789513","12850","","","12850","1","4","18.68","0.1008"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide24 Item2","803911","17233","","","17233","1","4","13.93","0.1161"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide26 Item3","822711","46413","","","46413","1","11","14.22","0.0515"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide28 Item4","870787","9255","","","9255","1","2","12.97","0.0817"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide30 Item5","881585","6261","","","6261","1","1","9.58","0.097"
"Nandos_Menu_Current_Subset1_2","Resp_009","MALE","33","Default","Stimulus","Slide66 Stim11","1124382","12006","","","12006","1","3","14.99","0.1395"
