#METADATA,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Name","Info_Respondent_Gender","Info_Respondent_Age","Info_Respondent_Group","Info_Interval_Type","Info_Interval_Label","Info_Interval_Start","Info_Interval_Duration","Info_Interval_ParentStimulus","Info_Interval_Comment","GSR_PDMetrics_SignalDuration","GSR_PDMetrics_HasPeaks","GSR_PDMetrics_PeakCount","GSR_PDMetrics_PeaksPerMinute","GSR_PDMetrics_AveragePeakAmplitude"
#Group,Respondent Info,Respondent Info,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics,GSR peak detection metrics
#Unit,,,,,,,Milliseconds,Milliseconds,,,Milliseconds,,,,Microsiemens
#Short unit,,,,,,,ms,ms,,,ms,,,,µS
#Description,"Name of the respondent.","Gender of the respondent.","Age of the respondent.","Group of the respondent.","Type of the interval that the metrics refers to.","Name of the interval.","Start time of the interval (relative to recording start).","Duration of the interval.","Name of the parent.","Comment that was added to the interval.","Duration of the 'GSR Interpolated' signal, excluding the gaps that exceeded the selected gap interpolation length threshold.","Binary value, indicating whether the respondent had any peaks (1) or none (0) during this interval.","Count of peaks detected during this interval.","Average count of peaks detected per minute for this interval (i.e. the count of peaks detected during this interval, or 'Peak Count', divided by the interval duration, or 'Duration (ms)', times 60000).","Average amplitude of all peaks during this interval, for a given respondent (i.e. the difference between the maximum value of the 'GSR Interpolated' signal during the peak and its value at the onset)."
#Device,,,,,,,,,,,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR,Shimmer 3A15 GSR
#AlgorithmType,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#Flow Name,,,,,,,,,,,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection,GSR Peak Detection
#DATA,,,,,,,,,,,,,,,
"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Comment","Signal Duration","Has Peaks","Peak Count","Peaks Per Minute","Average Peak Amplitude"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide8 Current1","242185","100873","","","100873","1","3","1.78","0.0148"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide13 Current2","378091","81968","","","81968","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide22 Item1","680252","15999","","","15999","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide24 Item2","697271","34938","","","34938","1","2","3.43","0.0135"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide26 Item3","733243","69279","","","69279","1","1","0.87","0.0138"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide28 Item4","803550","12034","","","12034","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide30 Item5","816606","8107","","","8107","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide63 Stim10","1085972","11997","","","11997","1","1","5","0.0147"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide45 Stim4","1099481","2996","","","2996","1","1","20.03","0.0098"
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide60 Stim9","1103993","11996","","","11996","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide42 Stim3","1117497","5990","","","5990","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide66 Stim11","1124995","11991","","","11991","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide39 Stim2","1138515","12005","","","12005","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide57 Stim8","1152025","5993","","","5993","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide48 Stim5","1159538","11994","","","11994","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide36 Stim1","1173040","2994","","","2994","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide54 Stim7","1177549","12002","","","12002","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide51 Stim6","1191060","5987","","","5987","0","0","0",NA
"Nandos_Menu_Current_Subset1","Resp_003","FEMALE","34","Default","Stimulus","Slide69 Stim12","1198888","5989","","","5989","0","0","0",NA
