,file,resp_id_old,subset_old,Slide13 Current2_RT,Slide13 Current2_AOISelected,Slide13 Current2_AOIAccuracy,Slide13 Current2_FixationCount,Slide22 Item1_RT,Slide22 Item1_AOISelected,Slide22 Item1_AOIAccuracy,Slide22 Item1_FixationCount,Slide24 Item2_RT,Slide24 Item2_AOISelected,Slide24 Item2_AOIAccuracy,Slide24 Item2_FixationCount,Slide26 Item3_RT,Slide26 Item3_AOISelected,Slide26 Item3_AOIAccuracy,Slide26 Item3_FixationCount,Slide28 Item4_RT,Slide28 Item4_AOISelected,Slide28 Item4_AOIAccuracy,Slide28 Item4_FixationCount,Slide30 Item5_RT,Slide30 Item5_AOISelected,Slide30 Item5_AOIAccuracy,Slide30 Item5_FixationCount,Slide8 Current1_RT,Slide8 Current1_AOISelected,Slide8 Current1_AOIAccuracy,Slide8 Current1_FixationCount,Slide13 NewF2_RT,Slide13 NewF2_AOISelected,Slide13 NewF2_AOIAccuracy,Slide13 NewF2_FixationCount,Slide8 NewF1_RT,Slide8 NewF1_AOISelected,Slide8 NewF1_AOIAccuracy,Slide8 NewF1_FixationCount,Slide13 NewU2_RT,Slide13 NewU2_AOISelected,Slide13 NewU2_AOIAccuracy,Slide13 NewU2_FixationCount,Slide8 NewU1_RT,Slide8 NewU1_AOISelected,Slide8 NewU1_AOIAccuracy,Slide8 NewU1_FixationCount
59,009_Resp_037.csv,37,Nandos_Menu_NewFunctional_Subset2_2,,,,,29626.3943,Item_06,3,71,7698.3824,Item_65,4,15,11736.2335,Heading_21,4,22,10319.4707,Item_10,4,24,81138.2225,Item_30,4,185,,,,,21064.1178,Item_119,4,46,90529.5021,Item_06,3,177,,,,,,,,
60,009_Resp_056.csv,56,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,3657.8509,Item_65,4,11,10779.364,Item_17,4,19,124432.3677,Item_61,3,287,3786.1909,Item_10,4,11,2331.0781,Item_30,4,5,,,,,73122.8345,Item_26,4,146,148351.998,Item_31,3,343,,,,,,,,
61,009_Resp_077.csv,77,Nandos_Menu_NewUnique_Subset3_2,,,,,46727.5007,Item_11,4,91,23278.3981,Item_17,4,71,14276.3135,Item_61,4,42,6568.0298,Item_10,3,22,3385.8987,Item_30,4,11,,,,,,,,,,,,,53094.5477,Item_13,3,70,121890.7599,Item_55,3,235
62,009_Resp_078.csv,78,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,14621.9697,Item_09,4,50,8147.4604,Item_17,4,15,4249.4794,Item_61,3,9,7306.4678,Item_10,3,25,4910.6942,Item_30 dwelled on; Item_46,4,11,,,,,,,,,,,,,48819.2501,Item_26,4,87,97443.9268,Heading_22,3,217
63,010_Resp_015.csv,15,Nandos_Menu_Current_Subset1_2,77002.2184,Item_98,4,191,7547.8427,Item_73,4,18,6452.2972,Item_17,4,20,212216.8379,Item_17,3,455,3958.2862,Item_47,4,11,9248.3325,Item_30,4,31,122200.1008,Visual_00,3,293,,,,,,,,,,,,,,,,
64,010_Resp_035.csv,35,Nandos_Menu_NewFunctional_Subset2_2,,,,,6730.3963,Item_09,4,17,12729.6631,Item_15,4,35,10366.9824,Item_61,3,26,8567.7085,Item_10,4,20,13864.1192,Item_46,4,32,,,,,26276.1739,Item_93,3,49,90699.7271,Iterm_53,4,201,,,,,,,,
65,010_Resp_058.csv,58,Nandos_Menu_NewFunctional_Subset2_2 (1),,,,,83241.7807,Item_09,4,202,27241.4501,Item_15,4,77,13529.4812,Item_61,4,30,10094.3282,Item_47,3,29,51949.1977,Item_26,4,117,,,,,53430.5956,Heading_23,3,72,239685.7973,Item_32,4,482,,,,,,,,
66,010_Resp_075.csv,75,Nandos_Menu_NewUnique_Subset3_2,,,,,74941.118,Item_65,3,161,39151.4693,Item_15,4,89,18379.2744,Item_61,4,42,27922.512,Item_47,4,51,10798.8738,Item_46,3,27,,,,,,,,,,,,,129516.5332,Item_13,4,190,110350.8104,Item_83,4,206
67,010_Resp_082.csv,82,Nandos_Menu_NewUnique_Subset3_2 (1),,,,,2860.3222,Item_09,4,9,12436.3384,Item_17,3,38,8455.7848,Item_60,4,28,3790.6519,Item_47,4,9,6098.9048,Item_46,4,18,,,,,,,,,,,,,14620.0114,Heading_27,4,25,220498.9832,Item_45,4,550
68,011_Resp_013 .csv,13,Nandos_Menu_Current_Subset1_2,45321.5379,Item_26,4,98,12801.9888,Item_73,4,35,10884.5138,Item_17,4,34,46732.8576,Item_61,3,119,7518.3952,Item_10,4,24,4208.0731,Item_30,4,9,114839.731,Item_31 dwelled on; Item_31 dwelled on (1),4,248,,,,,,,,,,,,,,,,
